Type,From,To
alias,blr,boiler
alias,blrs,boiler
alias,eb,electric boiler
alias,hwb,hot water boiler
alias,sb,steam boiler
alias,vrv,vrv
core,air handling unit,
core,chiller,
core,compressor,
core,condensing unit,
core,cooling tower,
core,fan,
core,generator,
core,motor,
core,panelboard,
core,sump,
core,switchgear,
core,transformer,
core,valve,
core,vav,
list,a c,Air Cooled Package AC Unit 25 to 50 Tons|Water Cooled Package AC Unit 25 to 50 Tons|Package AC Unit with Heat|Air Cooled Direct Expansion Split System
list,a/c,Air Cooled Package AC Unit 25 to 50 Tons|Water Cooled Package AC Unit 25 to 50 Tons|Package AC Unit with Heat|Air Cooled Direct Expansion Split System
list,ac,Air Cooled Package AC Unit 25 to 50 Tons|Water Cooled Package AC Unit 25 to 50 Tons|Package AC Unit with Heat|Air Cooled Direct Expansion Split System
list,access control,Access Control System
list,adjustable frequency drive,Variable Frequency Drive VFD
list,ahu,Air Handling Unit
list,air curtain,Air Curtain
list,appliance,Refrigerator|Microwave|Dishwasher|Range
list,ats,Automatic Transfer Switch
list,av equipment,Projector|Screen|Display|Speaker
list,awning,Awning
list,battery bank,Battery Bank
list,boiler,Electric Boiler|Gas Oil Hydronic Boiler|Gas Oil Steam Boiler
list,branch panel,Breaker Panelboard 225A and Above
list,canopy,Canopy
list,casework,Wood Casework|Metal Casework
list,cctv,Video Surveillance System
list,ceiling,Acoustical Ceiling|Gypsum Board Ceiling
list,charger,Battery Charger
list,chiller,Air Cooled Chiller|Water Cooled Chiller
list,cogenerator,Cogeneration Turbine Emergency Diesel Generator
list,compressor,Air Compressor|Refrigeration Compressor
list,concrete,Cast in Place Concrete|Precast Concrete
list,condenser,Evaporative Condenser
list,conveyor,Belt Conveyor|Roller Conveyor
list,cooling tower,Cooling Tower
list,countertop,Plastic Laminate Countertop|Solid Surface Countertop|Stone Countertop
list,crac,Computer Room Air Conditioner
list,crah,Computer Room Air Handler
list,crane,Bridge Crane|Jib Crane|Gantry Crane
list,dehumidifier,Dehumidifier
list,dhw,Electric Water Heater|Commercial Gas Water Heater
list,dock bumper,Dock Bumper
list,dock leveler,Dock Leveler
list,dock seal,Dock Seal
list,door,Hollow Metal Door|Wood Door|Glass Door
list,drywall,Gypsum Board
list,dumbwaiter,Dumbwaiter
list,dust collector,Dust Collector
list,dwh,Electric Water Heater|Commercial Gas Water Heater
list,electric wtr htr,Electric Water Heater
list,elevator,Hydraulic Elevator|Traction Elevator
list,escalator,Escalator
list,exhaust fan,Centrifugal Fan
list,fan,Axial Fan|Centrifugal Fan
list,fan coil,Hydronic Fan Coil Unit
list,fcu,Hydronic Fan Coil Unit
list,fire alarm,Fire Alarm Control Panel|Fire Alarm Device
list,fire extinguisher,Fire Extinguisher
list,fire pump,Electric Motor Driven Fire Pump|Motor Engine Driven Fire Pump
list,flagpole,Flagpole
list,flooring,Carpet|Vinyl Flooring|Tile Flooring|Wood Flooring
list,forced air heater,Oil or Gas Fired Forced Air Furnace Heater
list,furnace,Oil or Gas Fired Forced Air Furnace Heater
list,furniture,Desk|Chair|Table|File Cabinet
list,gate,Sliding Gate|Swing Gate
list,generator,Diesel Generator|Natural Gas Generator
list,grease interceptor,Grease Interceptor
list,hardware,Door Hardware
list,heat exchanger,Plate and Frame Heat Exchanger|Shell and Tube Heat Exchanger
list,heat pump,Air Cooled Heat Pump|Water Cooled Heat Pump
list,heat trace,Pipe Heat Tracing Cable
list,hoist,Electric Hoist|Manual Hoist
list,humidifier,Steam Humidification System|Evaporative Pan Humidification System with Heating Coil|Gas Fired Pan Humidification
list,intercom,Intercom System
list,intrusion detection,Intrusion Detection System
list,inverter,Inverter
list,it equipment,Server|Switch|Router
list,jockey pump,Jockey Pump
list,kitchen hood,Kitchen Exhaust Hood
list,lift,Wheelchair Lift|Material Lift
list,lighting,Indoor Lighting|Outdoor Lighting
list,locker,Metal Locker
list,main fire alarm control panel,Fire Alarm Annunciator System
list,make up air,Make Up Air Unit
list,masonry,Brick Masonry|Concrete Masonry
list,motor control center,Motor Control Center
list,motor operated dampers,Motorized Damper
list,moving walk,Moving Walk
list,nurse call,Nurse Call System
list,oil interceptor,Oil Interceptor
list,overhead door,Sectional Overhead Door|Rolling Steel Door
list,pa system,Public Address System
list,paint,Exterior Paint|Interior Paint
list,panelboard,Distribution Panelboard|Lighting and Appliance Panelboard
