Asset Sub Type,Asset Type,Uniformat Level 5,RS Means Number,Trade,Annual Labor Hours,Material,Who can perform work,Dock & Door Tech,Elevator Subcontractor,GMW,Electrical,HVAC,Fire System Contractor,Plumber,Crane Subcontractor,Contractor,Grounds,Subcontractor PM Work,Fire Tech,Material Handling,Vehicle Mechanic,Subcontractor,MATERIAL HANDELING
Electric Sliding Door,ARCHITECTURAL,B20351101,B20351101950,Dock & Door Tech,2.26,$32.50,GMW,,,2.26,,,,,,,,,,,,,
Hanger Door,ARCHITECTURAL,B20351102,B20351102950,Dock & Door Tech,2.38,$57.00,GMW,,,2.38,,,,,,,,,,,,,
Manual Swinging Door,ARCHITECTURAL,B2035225,B20352251950,Dock & Door Tech,0.38,$16.25,GMW,,,0.38,,,,,,,,,,,,,
Manual Revolving Door,ARCHITECTURAL,B20353001,B20353001950,Dock & Door Tech,1.42,$16.20,GMW,,,1.42,,,,,,,,,,,,,
Electric Revolving Door,ARCHITECTURAL,B20353002,B20353002950,Dock & Door Tech,2.29,$16.20,GMW,,,2.29,,,,,,,,,,,,,
Manual Overhead Door,ARCHITECTURAL,B2035400,B20354001950,Dock & Door Tech,7.85,$16.20,GMW,,,7.85,,,,,,,,,,,,,
Electric Overhead Door,ARCHITECTURAL,B2035410,B20354101950,Dock & Door Tech,4.19,$69.50,GMW,,,4.19,,,,,,,,,,,,,
Electric Rollup Gate Door,ARCHITECTURAL,B2035450,B20354501950,Dock & Door Tech,2.05,$16.20,GMW,,,2.05,,,,,,,,,,,,,
Passenger Freight Cable Elevator,CONVEYING,D1015100,D10151001950,Elevator Subcontractor,47.73,"$5,125.00",Elevator Subcontractor,,47.73,,,,,,,,,,,,,,
Passenger Freight Hydraulic Elevator,CONVEYING,D1015110,D10151101950,Elevator Subcontractor,10.34,"$2,025.00",Elevator Subcontractor,,10.34,,,,,,,,,,,,,,
Wheelchair Lift,CONVEYING,D1015310,D10153101950,Elevator Subcontractor,1.47,$32.50,Elevator Subcontractor,,1.47,,,,,,,,,,,,,,
Escalator,CONVEYING,D1025100,D10251001950,Elevator Subcontractor,26.61,"$5,000.00",Elevator Subcontractor,,26.61,,,,,,,,,,,,,,
Cable Dumbwaiter,CONVEYING,D1095100,D10951001950,Elevator Subcontractor,0.63,$77.50,Elevator Subcontractor,,0.63,,,,,,,,,,,,,,
Hydraulic Dumbwaiter,CONVEYING,D1095110,D10951101950,Elevator Subcontractor,1.34,$185.00,Elevator Subcontractor,,1.34,,,,,,,,,,,,,,
Pneumatic Tube System,CONVEYING,D1095200,D10952001950,GMW,1.40,$72.00,GMW,,,1.40,,,,,,,,,,,,,
Lavatories,PLUMBING,D2015100,D20151004950,GMW,0.35,$8.10,GMW,,,0.35,,,,,,,,,,,,,
Drinking Fountain,PLUMBING,D2015800,D20158001950,GMW,1.57,$31.50,GMW,,,1.57,,,,,,,,,,,,,
Closed Loop Hydronic Heating,HVAC,D2025190,D20251901950,GMW,2.17,$580.00,GMW,,,2.17,,,,,,,,,,,,,
Commercial Gas Water Heater,PLUMBING,D2025260,D20252601950,GMW,1.84,$132.00,GMW,,,1.84,,,,,,,,,,,,,
Sediment Strainer,PLUMBING,D2025270,D20252701950,GMW,2.01,$4.95,GMW,,,2.01,,,,,,,,,,,,,
Automatic Valve,PLUMBING,D2025310,D20253101950,GMW,0.60,$8.10,GMW,,,0.60,,,,,,,,,,,,,
Duplex Sump Pump,PLUMBING,D2095905,D20959051950,GMW,2.05,$41.00,GMW,,,2.05,,,,,,,,,,,,,
Submersible Pump,PLUMBING,D2095910,D20959101950,GMW,1.21,$29.00,GMW,,,1.21,,,,,,,,,,,,,
Air Quality Oxygen Monitor,HVAC,D2095930,D20959301950,Electrical,1.05,$505.00,Subcontractor,,,,,,,,,,,,,,,1.05,
Electric Boiler,HVAC,D3025110,D30251101950,HVAC,4.04,$53.00,HVAC,,,,,4.04,,,,,,,,,,,
Gas Oil Hydronic Boiler,HVAC,D3025130,D30251304950,HVAC,22.82,$110.00,HVAC,,,,,22.82,,,,,,,,,,,
Gas Oil Steam Boiler,HVAC,D3025140,D30251404950,HVAC,22.81,$122.00,HVAC,,,,,22.81,,,,,,,,,,,
Deaerator Tank,HVAC,D3025210,D30252101950,HVAC,3.26,$26.50,HVAC,,,,,3.26,,,,,,,,,,,
Fuel Oil Pump,PLUMBING,D30253101,D30253101950,HVAC,1.43,$129.00,HVAC,,,,,1.43,,,,,,,,,,,
Condensate Pump,HVAC,D30253103,D30253103950,HVAC,2.48,$93.00,GMW/HVAC,,,1.77,,0.71,,,,,,,,,,,
Cooling Tower,HVAC,D3035110,D30351103950,HVAC,20.93,$195.00,GMW/HVAC,,,9.19,,11.73,,,,,,,,,,,
Air Cooled Chiller,HVAC,D3035130,D30351302950,HVAC,14.08,$113.00,GMW/HVAC,,,10.68,,3.39,,,,,,,,,,,
Water Cooled Reciprocating Chiller,HVAC,D3035135,D30351352950,HVAC,10.91,$22.00,GMW/HVAC,,,10.91,,,,,,,,,,,,,
Water Cooled Centrifugal Chiller,HVAC,D3035140,D30351402950,HVAC,44.05,$132.00,GMW/HVAC,,,24.04,,20.01,,,,,,,,,,,
Absorption Chiller,HVAC,D3035150,D30351502950,HVAC,6.41,$65.50,GMW/HVAC,,,3.18,,3.22,,,,,,,,,,,
Water Cooled Screw Chiller,HVAC,D3035160,D30351602950,HVAC,16.70,$187.00,GMW/HVAC,,,10.10,,6.61,,,,,,,,,,,
Evaporative Cooler,HVAC,D3035170,D30351701950,HVAC,1.96,$41.50,GMW/HVAC,,,0.96,,1.00,,,,,,,,,,,
Rotating Drum Evaporative Cooler,HVAC,D3035180,D30351801950,HVAC,1.32,$41.50,GMW/HVAC,,,1.32,,,,,,,,,,,,,
Air Cooled Refrigerant Condensing Unit,HVAC,D30352201,D30352201950,HVAC,2.01,$114.00,GMW/HVAC,,,1.03,,0.98,,,,,,,,,,,
Air Cooled Condensing Unit 26 to 100 Tons,HVAC,D30352202,D30352202950,HVAC,2.96,$199.00,GMW/HVAC,,,2.96,,,,,,,,,,,,,
Air Cooled Condensing Unit Over 100 Tons,HVAC,D30352203,D30352203950,HVAC,3.44,$199.00,GMW/HVAC,,,3.44,,,,,,,,,,,,,
Direct Expansion Refrigeration Compressor 25 to 100 Tons,HVAC,D3035260,D30352602950,HVAC,3.43,$60.00,HVAC,,,,,3.43,,,,,,,,,,,
Air Cooled Condenser Fluid Cooler,HVAC,D3035290,D30352901950,HVAC,2.12,$39.50,GMW,,,2.12,,,,,,,,,,,,,
Air Handler-Heat/Cool,HVAC,D30451102,D30451102950,HVAC,4.16,$395.00,GMW/HVAC,,,2.26,,1.90,,,,,,,,,,,
Computer Room Direct Expansion Split System,HVAC,D3045112,D30451121950,HVAC,3.54,$116.00,GMW/HVAC,,,2.28,,1.26,,,,,,,,,,,
Hydronic Fan Coil Unit,HVAC,D3045120,D30451201950,HVAC,3.58,$103.00,GMW,,,3.58,,,,,,,,,,,,,
Electrostatic Air Filter,HVAC,D3045150,D30451501950,HVAC,1.98,$10.10,GMW/HVAC,,,1.38,,0.60,,,,,,,,,,,
Variable Air Volume Box,HVAC,D3045160,D30451601950,HVAC,1.07,$10.85,GMW,,,1.07,,,,,,,,,,,,,
Fire Damper,HVAC,D3045170,D30451701950,HVAC,1.05,$11.10,Fire System Contractor,,,,,,1.05,,,,,,,,,,
Axial Fan Up to 5000 CFM,HVAC,D3045210,D30452101950,GMW,1.53,$16.20,GMW,,,1.53,,,,,,,,,,,,,
Axial Fan 5000 to 10000 CFM,HVAC,D30452102,D30452102950,GMW,1.53,$40.00,GMW,,,1.53,,,,,,,,,,,,,
Centrifugal Fan,HVAC,D30452202,D30452202950,GMW,2.80,$40.00,GMW,,,2.80,,,,,,,,,,,,,
Centrifugal Fan Over 10000 CFM,HVAC,D30452203,D30452203950,GMW,1.18,$40.00,GMW,,,1.18,,,,,,,,,,,,,
